DurumId,DurumTarihId,AktifMi,Expr1,BK_Ad,BK_Tip,Sira,BKAktifMi,SuDurumu,KullanilabilirSuKapasite,BarajSuDurumuGosterimi,DolulukOrani,SuYuksekligi,MinSuKapasite,MaxSuYukseklik,MinSuYukseklik,AnalizDurumu,MaxSuKapasite,GunlukSuUretimGosterimi,Not,YIL,AY
0,,,0,Güzelhisar Barajı,,,,103389000,143390000,,63.76,96.81,11960000,,,,,,,2020,1
0,,,0,Balçova Barajı,,,,1016000,7622000,,11.53,114.91,211000,,,,,,,2020,1
0,,,0,Gördes Barajı,,,,54455000,457500000,,8.51,217.13,15500000,,,,,,,2020,1
0,,,0,Tahtalı Barajı,,,,209325000,287050000,,66.09,57.02,19600000,,,,,,,2020,1
0,,,0,Ürkmez Barajı,,,,5262000,8250000,,59.24,40.75,375000,,,,,,,2020,1
0,,,0,Alaçatı Kutlu Aktaş Barajı,,,,8906000,16000000,,52.54,16.66,500000,,,,,,,2020,1
0,,,0,Güzelhisar Barajı,,,,101391000,143390000,,62.37,96.36,11960000,,,,,,,2020,1
0,,,0,Balçova Barajı,,,,1188000,7622000,,13.79,116.58,211000,,,,,,,2020,1
0,,,0,Gördes Barajı,,,,51040000,457500000,,7.77,216.26,15500000,,,,,,,2020,1
0,,,0,Tahtalı Barajı,,,,200700000,287050000,,63.09,56.72,19600000,,,,,,,2020,1
0,,,0,Ürkmez Barajı,,,,5366000,8250000,,60.5,40.98,375000,,,,,,,2020,1
0,,,0,Alaçatı Kutlu Aktaş Barajı,,,,8538000,16000000,,50.24,16.43,500000,,,,,,,2020,1
0,,,0,Güzelhisar Barajı,,,,101656000,143390000,,62.55,96.42,11960000,,,,,,,2020,3
0,,,0,Balçova Barajı,,,,1631000,7622000,,19.6,120.31,211000,,,,,,,2020,3
0,,,0,Gördes Barajı,,,,58536000,457500000,,9.41,218.28,15500000,,,,,,,2020,3
0,,,0,Tahtalı Barajı,,,,200700000,287050000,,63.09,56.72,19600000,,,,,,,2020,3
0,,,0,Ürkmez Barajı,,,,5676000,8250000,,64.25,41.64,375000,,,,,,,2020,3
0,,,0,Alaçatı Kutlu Aktaş Barajı,,,,8458000,16000000,,49.74,16.38,500000,,,,,,,2020,3
0,,,0,Güzelhisar Barajı,,,,106864000,143390000,,66.19,97.58,11960000,,,,,,,2020,3
0,,,0,Balçova Barajı,,,,2102000,7622000,,25.78,123.64,211000,,,,,,,2020,3
0,,,0,Gördes Barajı,,,,64060000,457500000,,10.61,219.65,15500000,,,,,,,2020,3
0,,,0,Tahtalı Barajı,,,,199550000,287050000,,62.69,56.68,19600000,,,,,,,2020,3
0,,,0,Ürkmez Barajı,,,,5894000,8250000,,66.9,42.08,375000,,,,,,,2020,3
0,,,0,Alaçatı Kutlu Aktaş Barajı,,,,8634000,16000000,,50.84,16.49,500000,,,,,,,2020,3
0,,,0,Güzelhisar Barajı,,,,105411000,143390000,,65.17,97.26,11960000,,,,,,,2020,4
0,,,0,Balçova Barajı,,,,2528000,7622000,,31.37,126.26,211000,,,,,,,2020,4
0,,,0,Gördes Barajı,,,,63180000,457500000,,10.42,219.45,15500000,,,,,,,2020,4
0,,,0,Tahtalı Barajı,,,,186325000,287050000,,58.08,56.22,19600000,,,,,,,2020,4
0,,,0,Ürkmez Barajı,,,,6565000,8250000,,75.03,43.3,375000,,,,,,,2020,4
0,,,0,Alaçatı Kutlu Aktaş Barajı,,,,8122000,16000000,,47.64,16.17,500000,,,,,,,2020,4
0,,,0,Güzelhisar Barajı,,,,102409000,143390000,,63.08,96.59,11960000,,,,,,,2020,5
0,,,0,Balçova Barajı,,,,2645000,7622000,,32.9,126.93,211000,,,,,,,2020,5
0,,,0,Gördes Barajı,,,,60534000,457500000,,9.84,218.82,15500000,,,,,,,2020,5
0,,,0,Tahtalı Barajı,,,,173862000,287050000,,53.74,55.42,19600000,,,,,,,2020,5
0,,,0,Ürkmez Barajı,,,,6384000,8250000,,72.84,42.97,375000,,,,,,,2020,5
0,,,0,Alaçatı Kutlu Aktaş Barajı,,,,7710000,16000000,,45.06,15.93,500000,,,,,,,2020,5
0,,,0,Güzelhisar Barajı,,,,99156000,143390000,,60.81,95.85,11960000,,,,,,,2020,6
0,,,0,Balçova Barajı,,,,2711000,7622000,,33.77,127.3,211000,,,,,,,2020,6
0,,,0,Gördes Barajı,,,,56835000,457500000,,9.03,217.81,15500000,,,,,,,2020,6
0,,,0,Tahtalı Barajı,,,,166453000,287050000,,51.16,54.72,19600000,,,,,,,2020,6
0,,,0,Ürkmez Barajı,,,,5954000,8250000,,67.62,42.19,375000,,,,,,,2020,6
0,,,0,Alaçatı Kutlu Aktaş Barajı,,,,6830000,16000000,,39.56,15.5,500000,,,,,,,2020,6
0,,,0,Güzelhisar Barajı,,,,93558000,143390000,,56.91,94.54,11960000,,,,,,,2020,7
0,,,0,Balçova Barajı,,,,2276000,7622000,,28.06,124.75,211000,,,,,,,2020,7
0,,,0,Gördes Barajı,,,,52880000,457500000,,8.17,216.72,15500000,,,,,,,2020,7
0,,,0,Tahtalı Barajı,,,,156717000,287050000,,47.77,53.8,19600000,,,,,,,2020,7
0,,,0,Ürkmez Barajı,,,,5138000,8250000,,57.73,40.5,375000,,,,,,,2020,7
0,,,0,Alaçatı Kutlu Aktaş Barajı,,,,5701000,16000000,,32.51,14.95,500000,,,,,,,2020,7
0,,,0,Güzelhisar Barajı,,,,88125000,143390000,,53.12,93.22,11960000,,,,,,,2020,8
0,,,0,Balçova Barajı,,,,1576000,7622000,,18.88,119.88,211000,,,,,,,2020,8
0,,,0,Gördes Barajı,,,,48285000,457500000,,7.17,215.51,15500000,,,,,,,2020,8
0,,,0,Tahtalı Barajı,,,,147933000,287050000,,44.71,52.97,19600000,,,,,,,2020,8
0,,,0,Ürkmez Barajı,,,,4284000,8250000,,47.38,38.55,375000,,,,,,,2020,8
0,,,0,Alaçatı Kutlu Aktaş Barajı,,,,4482000,16000000,,24.89,14.29,500000,,,,,,,2020,8
0,,,0,Güzelhisar Barajı,,,,83290000,143390000,,49.75,92.0,11960000,,,,,,,2020,9
0,,,0,Balçova Barajı,,,,1277000,7622000,,14.96,117.39,211000,,,,,,,2020,9
0,,,0,Gördes Barajı,,,,44232000,457500000,,6.28,214.37,15500000,,,,,,,2020,9
0,,,0,Tahtalı Barajı,,,,139360000,287050000,,41.72,52.16,19600000,,,,,,,2020,9
0,,,0,Ürkmez Barajı,,,,3486000,8250000,,37.71,36.59,375000,,,,,,,2020,9
0,,,0,Alaçatı Kutlu Aktaş Barajı,,,,3598000,16000000,,19.36,13.78,500000,,,,,,,2020,9
0,,,0,Güzelhisar Barajı,,,,79686000,143390000,,47.23,91.06,11960000,,,,,,,2020,10
0,,,0,Balçova Barajı,,,,1330000,7622000,,15.65,117.86,211000,,,,,,,2020,10
0,,,0,Gördes Barajı,,,,40415000,457500000,,5.45,213.29,15500000,,,,,,,2020,10
0,,,0,Tahtalı Barajı,,,,131211000,287050000,,38.88,51.39,19600000,,,,,,,2020,10
0,,,0,Ürkmez Barajı,,,,3036000,8250000,,32.25,35.34,375000,,,,,,,2020,10
0,,,0,Alaçatı Kutlu Aktaş Barajı,,,,3054000,16000000,,15.96,13.44,500000,,,,,,,2020,10
0,,,0,Güzelhisar Barajı,,,,77294000,143390000,,45.56,90.42,11960000,,,,,,,2020,11
0,,,0,Balçova Barajı,,,,1329000,7622000,,15.64,117.85,211000,,,,,,,2020,11
0,,,0,Gördes Barajı,,,,37054000,457500000,,4.71,212.31,15500000,,,,,,,2020,11
0,,,0,Tahtalı Barajı,,,,122744000,287050000,,35.93,50.59,19600000,,,,,,,2020,11
0,,,0,Ürkmez Barajı,,,,2818000,8250000,,29.61,34.67,375000,,,,,,,2020,11
0,,,0,Alaçatı Kutlu Aktaş Barajı,,,,2622000,16000000,,13.26,13.17,500000,,,,,,,2020,11
0,,,0,Güzelhisar Barajı,,,,78783000,143390000,,46.6,90.82,11960000,,,,,,,2020,12
0,,,0,Balçova Barajı,,,,2618000,7622000,,32.55,126.78,211000,,,,,,,2020,12
0,,,0,Gördes Barajı,,,,32928000,457500000,,3.81,211.04,15500000,,,,,,,2020,12
0,,,0,Tahtalı Barajı,,,,126978000,287050000,,37.41,50.99,19600000,,,,,,,2020,12
0,,,0,Ürkmez Barajı,,,,3766000,8250000,,41.1,37.29,375000,,,,,,,2020,12
0,,,0,Alaçatı Kutlu Aktaş Barajı,,,,6497000,16000000,,37.48,15.34,500000,,,,,,,2020,12
0,,,0,Güzelhisar Barajı,,,,82206000,143390000,,48.99,91.72,11960000,,,,,,,2021,1
0,,,0,Balçova Barajı,,,,4060000,7622000,,51.47,133.74,211000,,,,,,,2021,1
0,,,0,Gördes Barajı,,,,30336000,457500000,,3.24,210.12,15500000,,,,,,,2021,1
0,,,0,Tahtalı Barajı,,,,139889000,287050000,,41.91,52.21,19600000,,,,,,,2021,1
0,,,0,Ürkmez Barajı,,,,5703000,8250000,,64.58,41.69,375000,,,,,,,2021,1
0,,,0,Alaçatı Kutlu Aktaş Barajı,,,,8026000,16000000,,47.04,16.11,500000,,,,,,,2021,1
0,,,0,Güzelhisar Barajı,,,,126833000,143390000,,80.11,101.73,11960000,,,,,,,2021,2
0,,,0,Balçova Barajı,,,,6488000,7622000,,83.32,142.35,211000,,,,,,,2021,2
0,,,0,Gördes Barajı,,,,37360000,457500000,,4.78,212.4,15500000,,,,,,,2021,2
0,,,0,Tahtalı Barajı,,,,191500000,287050000,,59.89,56.4,19600000,,,,,,,2021,2
0,,,0,Ürkmez Barajı,,,,7531000,8250000,,86.74,44.93,375000,,,,,,,2021,2
0,,,0,Alaçatı Kutlu Aktaş Barajı,,,,11541000,16000000,,69.01,17.82,500000,,,,,,,2021,2
0,,,0,Güzelhisar Barajı,,,,134060000,143390000,,85.15,103.13,11960000,,,,,,,2021,3
0,,,0,Balçova Barajı,,,,6557000,7622000,,84.23,142.56,211000,,,,,,,2021,3
0,,,0,Gördes Barajı,,,,51320000,457500000,,7.83,216.33,15500000,,,,,,,2021,3
0,,,0,Tahtalı Barajı,,,,227725000,287050000,,72.5,57.66,19600000,,,,,,,2021,3
0,,,0,Ürkmez Barajı,,,,7931000,8250000,,91.59,45.57,375000,,,,,,,2021,3
0,,,0,Alaçatı Kutlu Aktaş Barajı,,,,12648000,16000000,,75.93,18.27,500000,,,,,,,2021,3
0,,,0,Güzelhisar Barajı,,,,132908000,143390000,,84.35,102.91,11960000,,,,,,,2021,4
0,,,0,Balçova Barajı,,,,7298000,7622000,,93.95,144.72,211000,,,,,,,2021,4
0,,,0,Gördes Barajı,,,,57220000,457500000,,9.12,217.92,15500000,,,,,,,2021,4
0,,,0,Tahtalı Barajı,,,,237213000,287050000,,75.81,57.99,19600000,,,,,,,2021,4
0,,,0,Ürkmez Barajı,,,,7887000,8250000,,91.05,45.5,375000,,,,,,,2021,4
0,,,0,Alaçatı Kutlu Aktaş Barajı,,,,12120000,16000000,,72.63,18.05,500000,,,,,,,2021,4
0,,,0,Güzelhisar Barajı,,,,129848000,143390000,,82.21,102.32,11960000,,,,,,,2021,5
0,,,0,Balçova Barajı,,,,6840000,7622000,,87.94,143.4,211000,,,,,,,2021,5
0,,,0,Gördes Barajı,,,,55680000,457500000,,8.78,217.48,15500000,,,,,,,2021,5
0,,,0,Tahtalı Barajı,,,,229450000,287050000,,73.11,57.72,19600000,,,,,,,2021,5
0,,,0,Ürkmez Barajı,,,,7600000,8250000,,87.58,45.04,375000,,,,,,,2021,5
