YIL,AY,ILCE,MAHALLE,ABONELIK_GRUBU,ABONELIK_TURU,ABONE_TIPI,ABONE_ADEDI,ORTALAMA_TUKETIM
2023,6,SEFERİHİSAR,TURABİYE,Konut,Su,KONUT,2577,24129.0
2024,2,ÇEŞME,CELAL BAYAR,Konut Dışı,Su,RESMİ DAİRE,1,56.0
2022,10,DİKİLİ,KABAKUM,Tarım Hayvan,Su,ORMAN KÖYÜ VE ESKİ KÖYLER TARIM/ HAYVAN,9,131.0
2024,6,DİKİLİ,İSMETPAŞA,Konut,Su,KONUT (AFET),2,29.0
2020,1,FOÇA,FEVZİ ÇAKMAK,Konut Dışı,Su,FIRIN HAMAM ABONELERİ,3,29.0
2021,5,KONAK,FEVZİ PAŞA,Konut Dışı,Su,İŞYERİ,49,229.0
2024,3,NARLIDERE,LİMANREİS,Konut,Su,ŞEHİT GAZİ,4,33.0
2020,8,KARŞIYAKA,ALAYBEY,Konut Dışı,Su,İŞYERİ,203,1974.0
2023,6,TİRE,TOKİ,Konut Dışı,Su,ÖZEL OKULLAR,1,24.0
2023,8,BEYDAĞ,BAKIRKÖY,Konut,Su,ORMAN KÖYÜ VE ESKİ KÖYLER KONUT,85,2613.0
2023,10,KONAK,BARBAROS,Konut Dışı,Su,ÖZEL HASTANELER,1,114.0
2021,8,ÇİĞLİ,YAKAKENT,Konut,Su,KONUT,2437,27061.0
2022,11,KARŞIYAKA,ATAKENT,Konut,Su,E.A.,21,208.0
2024,8,ÇEŞME,DALYAN,Konut Dışı,Su,İNŞAAT (ŞANTİYE),28,3589.0
2020,6,BALÇOVA,ÇETİN EMEÇ,Konut Dışı,Su,RESMİ OKUL HASTANELER,1,2.0
2023,1,TİRE,KETENCİ,Konut Dışı,Su,BELEDİYE,1,19.0
2021,8,ÖDEMİŞ,GÜNLÜCE,Tarım Hayvan,Su,ORMAN KÖYÜ VE ESKİ KÖYLER TARIM/ HAYVAN,35,3989.0
2020,12,KARABAĞLAR,BASIN SİTESİ,Konut Dışı,Su,AİLEHEKİM.RES.HAS.,1,12.0
