HANE_ID,YIL,AY,ILCE,TUKETIM,IS_ANOMALY,IS_MISSING,ORTALAMA_TUKETIM_MEAN,ABONE_ADEDI_SUM,KAYIT_SAYISI,ORT_DOLULUK,TOPLAM_SU,BARAJ_SAYISI
9,2023,1,ÖDEMİŞ,15028.678636578124,1,0,,,,36.13833333333333,284679000.0,6.0
13,2024,1,BEYDAĞ,76.62,0,0,,,,35.190000000000005,280086000.0,6.0
15,2021,2,GAZİEMİR,689.2499029853846,1,0,1281.0,120.0,1.0,63.975,381253000.0,6.0
18,2022,10,BUCA,148.1,0,0,,,,40.355,303945000.0,6.0
20,2021,8,KİRAZ,132.88,0,0,,,,48.65833333333333,348099000.0,6.0
24,2022,1,FOÇA,141.36,0,0,58.0,1.0,1.0,52.89333333333334,324869000.0,6.0
27,2021,3,BORNOVA,111.44,0,0,1457.0,56.0,1.0,69.53833333333334,440241000.0,6.0
30,2020,3,SEFERİHİSAR,199.85,0,0,9.0,1.0,1.0,45.97083333333333,763761000.0,12.0
31,2023,2,BUCA,,1,1,,,,39.745,304390000.0,6.0
32,2021,1,MENEMEN,152.18,0,0,59.5,5.0,2.0,42.87166666666667,270220000.0,6.0
33,2020,6,KONAK,193.02,0,0,415.0,16.0,1.0,43.65833333333334,337939000.0,6.0
34,2024,6,KEMALPAŞA,98.19,0,0,,,,44.919999999999995,314563000.0,6.0
44,2024,4,KONAK,121.64,0,0,10.0,2.0,1.0,49.43333333333334,341213000.0,6.0
46,2023,4,MENEMEN,100.28,0,0,67.0,3.0,1.0,46.845,329634000.0,6.0
48,2022,9,ÖDEMİŞ,65.2,0,0,468.6666666666667,64.0,3.0,42.855,318643000.0,6.0
52,2023,10,KONAK,110.71,0,0,171.0,20.0,2.0,24.72666666666667,244436000.0,6.0
53,2024,5,ÖDEMİŞ,109.82,0,0,40.0,9.0,3.0,47.67666666666667,331440000.0,6.0
62,2021,7,BERGAMA,154.11,0,0,531.5,51.0,2.0,53.971666666666664,382565000.0,6.0
66,2022,11,BORNOVA,93.87,0,0,,,,35.45333333333333,290429000.0,6.0
69,2020,7,KARABAĞLAR,122.31,0,0,2170.0,49.0,1.0,38.525,316270000.0,6.0
70,2024,8,KONAK,73.71,0,0,41.0,2.0,1.0,32.655,257371000.0,6.0
71,2023,10,KARABAĞLAR,130.06,0,0,,,,24.72666666666667,244436000.0,6.0
74,2023,12,KARŞIYAKA,193.49,0,0,238.0,20.0,1.0,26.203333333333333,247671000.0,6.0
80,2020,10,KINIK,140.63,0,0,,,,25.903333333333336,258732000.0,6.0
81,2024,2,KONAK,166.23,0,0,,,,44.58833333333333,331522000.0,6.0
85,2021,10,BAYRAKLI,86.98,0,0,,,,40.41833333333333,310750000.0,6.0
89,2024,3,KONAK,116.88,0,0,,,,49.19499999999999,340131000.0,6.0
91,2020,10,NARLIDERE,73.43,0,0,662.5,7.0,2.0,25.903333333333336,258732000.0,6.0
94,2022,12,BERGAMA,68.88,0,0,1.0,1.0,1.0,36.538333333333334,288391000.0,6.0
96,2022,8,KARABAĞLAR,92.69,0,0,,,,46.225,334604000.0,6.0
97,2022,10,BERGAMA,138.42,0,0,,,,40.355,303945000.0,6.0
100,2020,9,ÇİĞLİ,118.15,0,0,17.0,1.0,1.0,28.296666666666667,275243000.0,6.0
101,2020,2,TORBALI,117.92,0,0,,,,,,
107,2022,3,SEFERİHİSAR,87.51,0,0,,,,71.255,424798000.0,6.0
110,2020,7,KONAK,168.91,0,0,,,,38.525,316270000.0,6.0
112,2021,1,BERGAMA,118.06,0,0,251.5,40.0,2.0,42.87166666666667,270220000.0,6.0
114,2023,12,BAYINDIR,129.95,0,0,5.0,1.0,1.0,26.203333333333333,247671000.0,6.0
121,2023,12,BAYINDIR,135.21,0,0,5.0,1.0,1.0,26.203333333333333,247671000.0,6.0
123,2021,10,KONAK,114.85,0,0,,,,40.41833333333333,310750000.0,6.0
133,2020,10,SEFERİHİSAR,120.9,0,0,406.5,50.0,2.0,25.903333333333336,258732000.0,6.0
135,2024,6,BERGAMA,121.34,0,0,6.0,1.0,1.0,44.919999999999995,314563000.0,6.0
136,2021,10,URLA,152.17,0,0,,,,40.41833333333333,310750000.0,6.0
140,2024,7,MENEMEN,107.79,0,0,126.5,8.0,2.0,39.32833333333333,289223000.0,6.0
145,2021,8,BAYRAKLI,255.22,0,0,,,,48.65833333333333,348099000.0,6.0
